Day,May4th(r^2=0.43),May6th(r^2=0.41),May6th(r^2=0.38),May7th_amazon
2017/10/1,22,26,30,43
2017/10/2,19,14,32,39
2017/10/3,10,14,17,43
2017/10/4,9,5,11,40
2017/10/5,9,22,10,39
2017/10/6,0,0,11,38
2017/10/7,11,16,19,43
2017/10/8,10,10,6,45
2017/10/9,5,17,5,39
2017/10/10,37,40,10,39
2017/10/11,14,23,37,41
2017/10/12,0,9,11,36
2017/10/13,10,5,11,37
2017/10/14,0,6,7,37
2017/10/15,11,5,31,42
2017/10/16,23,13,5,35
2017/10/17,14,9,21,37
2017/10/18,19,14,26,36
2017/10/19,5,0,11,36
2017/10/20,10,23,28,36
2017/10/21,17,21,0,42
2017/10/22,15,14,28,43
2017/10/23,22,17,20,40
2017/10/24,23,26,15,39
2017/10/25,9,13,15,38
2017/10/26,24,23,16,37
2017/10/27,25,19,11,38
2017/10/28,6,5,12,41
2017/10/29,10,19,33,42
2017/10/30,0,5,0,40
2017/10/31,25,29,39,39
2017/11/1,24,51,27,40
2017/11/2,19,18,5,41
2017/11/3,24,14,11,43
2017/11/4,22,27,43,44
2017/11/5,38,55,65,48
2017/11/6,18,13,15,43
2017/11/7,27,22,30,44
2017/11/8,23,27,20,45
2017/11/9,19,13,5,42
2017/11/10,5,5,11,43
2017/11/11,43,42,18,49
2017/11/12,14,14,22,50
2017/11/13,27,17,5,46
2017/11/14,18,17,10,47
2017/11/15,23,9,31,46
2017/11/16,14,18,16,47
2017/11/17,10,19,11,46
2017/11/18,33,32,37,51
2017/11/19,30,28,32,56
2017/11/20,31,43,25,67
2017/11/21,14,4,0,62
2017/11/22,23,13,16,60
2017/11/23,47,49,79,68
2017/11/24,100,100,100,100
2017/11/25,33,52,30,64
2017/11/26,35,24,61,66
2017/11/27,27,30,45,59
2017/11/28,14,18,26,52
2017/11/29,24,27,26,50
2017/11/30,19,14,21,51
2017/12/1,31,20,34,51
2017/12/2,17,17,19,55
2017/12/3,26,25,28,59
2017/12/4,41,26,25,54
2017/12/5,32,22,31,52
2017/12/6,28,36,26,55
2017/12/7,19,9,21,54
2017/12/8,10,19,39,53
2017/12/9,34,21,43,57
2017/12/10,50,24,39,59
2017/12/11,13,21,29,58
2017/12/12,27,13,41,59
2017/12/13,5,4,15,58
2017/12/14,19,18,21,58
2017/12/15,20,24,28,55
2017/12/16,23,11,6,61
2017/12/17,21,15,17,59
2017/12/18,23,13,41,58
2017/12/19,5,5,16,53
2017/12/20,5,5,16,50
2017/12/21,10,10,6,45
2017/12/22,17,16,25,42
2017/12/23,6,18,0,37
2017/12/24,0,0,15,39
2017/12/25,12,6,14,50
2017/12/26,23,11,33,48
2017/12/27,25,10,45,47
2017/12/28,26,15,0,48
2017/12/29,27,26,6,44
2017/12/30,11,21,19,40
2017/12/31,13,6,14,32
2018/1/1,0,16,0,38
2018/1/2,32,26,5,41
2018/1/3,13,30,24,43
2018/1/4,9,30,10,41
2018/1/5,14,9,16,40
2018/1/6,16,5,6,41
2018/1/7,10,23,22,40
2018/1/8,9,4,24,37
2018/1/9,9,21,15,38
2018/1/10,9,4,31,39
2018/1/11,14,4,20,39
2018/1/12,9,13,0,36
2018/1/13,21,15,18,42
2018/1/14,19,23,11,42
2018/1/15,22,33,33,38
2018/1/16,9,8,35,36
2018/1/17,14,0,35,39
2018/1/18,9,17,10,35
2018/1/19,29,36,21,36
2018/1/20,10,10,29,42
2018/1/21,14,23,11,43
2018/1/22,9,12,14,37
2018/1/23,35,33,15,37
2018/1/24,13,9,15,38
2018/1/25,14,17,10,39
2018/1/26,48,63,5,36
2018/1/27,16,35,18,40
2018/1/28,43,41,16,40
2018/1/29,26,12,14,37
2018/1/30,18,17,20,38
2018/1/31,18,21,25,41
2018/2/1,18,26,25,38
2018/2/2,42,27,21,39
2018/2/3,26,20,12,40
2018/2/4,19,46,16,42
2018/2/5,9,4,5,38
2018/2/6,36,26,10,38
2018/2/7,28,22,15,40
2018/2/8,43,23,21,37
2018/2/9,15,14,11,36
2018/2/10,16,31,18,36
2018/2/11,50,29,39,38
2018/2/12,9,13,25,33
2018/2/13,14,13,0,35
2018/2/14,27,26,15,32
2018/2/15,32,17,40,33
2018/2/16,48,32,32,31
2018/2/17,21,20,24,36
2018/2/18,25,0,34,36
2018/2/19,9,9,20,34
2018/2/20,4,9,29,33
2018/2/21,9,13,20,33
2018/2/22,9,26,26,34
2018/2/23,10,9,5,32
2018/2/24,16,25,6,36
2018/2/25,34,23,37,37
2018/2/26,40,33,15,36
2018/2/27,22,21,10,37
2018/2/28,14,17,5,37
